Description,TotalSalesDollars,AvgProfitMargin
(RI) 1,21519.090000000124,18.060661487079937
.nparalleled Svgn Blanc,1094.6300000000003,29.978166138329865
10 Span Cab Svgn CC,2703.8899999999976,20.937612107001332
10 Span Chard CC,3325.5599999999995,27.80644462887456
10 Span Pnt Gris Monterey Cy,2082.2200000000007,32.226181671485286
10 Span Pnt Nr CC,2441.7399999999984,25.83608410395863
12 Days of Pearls Gift Set,309.6900000000001,97.67832348477509
13 Celsius Svgn Bl,34041.230000000476,57.669978434975
13th Colony Sthrn Corn Whsky,359.82,42.44622311155579
14 Hands Cab Svgn Wash,273570.4399999979,38.22745980888823
14 Hands Chard Wash,58250.47000000016,38.44744943688883
14 Hands Hot to Trot Red,168780.0400000032,34.8222455688494
14 Hands Hot to Trot White,16198.859999999822,40.02664385024548
14 Hands Merlot Wash,148235.97000000492,42.28769171207472
14 Hands Moscato,798.1500000000004,28.512184426486282
14 Hands Pinot Grigio,40353.490000000646,37.10578688485261
14 Hands Red Blend Ltd,9570.419999999967,45.945945945945766
14 Hands Red Blend Stampede,25884.530000000297,27.87004438558558
14 Hands Rsl Wash,531.4800000000002,22.781666290359038
14 Hands Svgn Bl,16640.599999999773,38.90003966203049
1792 Full Proof Bourbon,3576.2099999999964,24.508627849035662
1792 Port Finish Bourbon,6998.249999999978,23.0807701925479
1792 Single Barrel Bourbon,2445.3899999999985,21.44852150372737
1792 Sweet Wheat Bourbon,3170.1099999999974,21.418815119979996
1800 Anejo Tequila,30316.780000000326,35.026081265887235
1800 Coconut Tequila,199138.589999997,33.44562698771668
1800 Reposado Gold Tequila,511933.8999999927,26.561876265024544
1800 Select Silver Tequila,2129.29,89.44577770054806
1800 Silver Tequila,701881.8099999583,33.726908541996174
1800 Silver w/ Shot Glasses,31476.900000000365,29.3070156209801
1800 Ultimate Margarita RTD,149258.32000000347,31.938179392614856
1800 Ultimate Peach Margrita,46049.719999999856,33.595948031823
19 Crimes Cab Svgn,63682.420000000115,33.90014072957716
