VendorName,TotalPurchaseDollars,PurchaseContribution
BROWN-FORMAN CORP,3811251.600000111,1.2400821237940496
MARTIGNETTI COMPANIES,3804041.2199999536,1.2377360537146151
PERNOD RICARD USA,3418303.680000034,1.112227092870839
DIAGEO NORTH AMERICA INC,3261197.94000002,1.0611089720625861
DIAGEO NORTH AMERICA INC,3023206.0099999965,0.9836725892217721
BACARDI USA INC,2466635.930000039,0.8025791639421208
PERNOD RICARD USA,2177285.0800000825,0.708431924597033
DIAGEO NORTH AMERICA INC,2088334.8399999859,0.6794898304746435
DIAGEO NORTH AMERICA INC,1903739.5499999446,0.6194273252163649
JIM BEAM BRANDS COMPANY,1773427.139999997,0.5770270569817904
PERNOD RICARD USA,1530426.1000000215,0.4979608400552239
DIAGEO NORTH AMERICA INC,1498161.9600000305,0.48746292822658044
BACARDI USA INC,1478001.420000022,0.4809032129718739
MAJESTIC FINE WINES,1460072.3599999887,0.47506956325888416
ULTRA BEVERAGE COMPANY LLP,1452173.3099999838,0.47249941787673166
DIAGEO NORTH AMERICA INC,1414552.9200000092,0.4602587216369118
PERNOD RICARD USA,1399080.1500000013,0.4552242847913921
DIAGEO NORTH AMERICA INC,1396130.770000004,0.45426463326529704
DIAGEO NORTH AMERICA INC,1373128.4800000344,0.4467802864865937
DIAGEO NORTH AMERICA INC,1317439.4799999988,0.42866053459406334
BACARDI USA INC,1283470.6200000057,0.4176079512244289
BACARDI USA INC,1277758.760000023,0.41574946057017964
"STOLI GROUP,(USA) LLC",1208990.7200000167,0.39337412930305476
BACARDI USA INC,1205942.9200000067,0.3923824544692779
JIM BEAM BRANDS COMPANY,1193404.80000003,0.38830287639105415
JIM BEAM BRANDS COMPANY,1190145.3300000117,0.38724232964571054
PROXIMO SPIRITS INC.,1163442.7199999734,0.3785539950000286
BACARDI USA INC,1106876.6099999847,0.36014885433087107
MOET HENNESSY USA INC,1098336.0000000028,0.3573699620144273
DIAGEO NORTH AMERICA INC,1073853.4400000074,0.349403973885827
PROXIMO SPIRITS INC.,1034996.3799999938,0.3367608973990351
CAMPARI AMERICA,1029112.6799999664,0.33484649447905973
MOET HENNESSY USA INC,1014484.2900000048,0.33008679691964393
PERNOD RICARD USA,980963.75,0.3191800852152977
SAZERAC CO INC,976289.3999999905,0.3176591733249968
PERNOD RICARD USA,975128.9800000095,0.3172816028444572
BACARDI USA INC,967725.9800000013,0.3148728592279357
MARTIGNETTI COMPANIES,953554.2399999768,0.31026174369909293
BROWN-FORMAN CORP,843206.7599999951,0.2743575443138582
JIM BEAM BRANDS COMPANY,839431.6000000037,0.2731292054578111
SAZERAC CO INC,757553.7200000103,0.2464882732973253
PERNOD RICARD USA,742435.6400000077,0.24156924335081348
DIAGEO NORTH AMERICA INC,736897.8699999982,0.239767397053735
PERNOD RICARD USA,720971.7199999975,0.23458544215055754
DIAGEO NORTH AMERICA INC,710919.9000000035,0.2313148414131022
CONSTELLATION BRANDS INC,692308.6800000105,0.22525923458200534
SAZERAC CO INC,691668.3799999709,0.22505089761891572
CONSTELLATION BRANDS INC,689066.0700000038,0.2242041736420653
MARTIGNETTI COMPANIES,675453.2000000181,0.21977489987265209
M S WALKER INC,645874.709999989,0.21015082868882992
BROWN-FORMAN CORP,645871.359999999,0.21014973868598094
DIAGEO NORTH AMERICA INC,642375.9200000195,0.20901241344123217
SAZERAC NORTH AMERICA INC.,624717.5300000095,0.20326683270497337
CONSTELLATION BRANDS INC,612328.4100000054,0.19923573535061767
DIAGEO NORTH AMERICA INC,611358.9000000008,0.1989202820176902
DIAGEO NORTH AMERICA INC,610436.8800000268,0.19862028069535598
BROWN-FORMAN CORP,610241.4999999967,0.1985567091260101
JIM BEAM BRANDS COMPANY,601519.0999999947,0.19571866707268998
MARTIGNETTI COMPANIES,600612.5999999961,0.19542371555460666
PALM BAY INTERNATIONAL INC,599076.0,0.19492374588810207
MOET HENNESSY USA INC,594540.5400000018,0.19344802519068588
MARTIGNETTI COMPANIES,594149.8799999933,0.19332091458940942
PERNOD RICARD USA,578749.7099999987,0.18831009989525954
MOET HENNESSY USA INC,577389.3600000012,0.18786747739374324
JIM BEAM BRANDS COMPANY,575926.9999999952,0.18739166349193764
REMY COINTREAU USA INC,559210.0499999939,0.18195240284082764
REMY COINTREAU USA INC,552900.6999999961,0.17989950448382677
MARTIGNETTI COMPANIES,549995.7299999988,0.17895430281643895
"STOLI GROUP,(USA) LLC",544908.5699999994,0.1772990732910832
BROWN-FORMAN CORP,538516.3799999909,0.1752192209530992
DIAGEO NORTH AMERICA INC,526072.7099999951,0.1711703744478234
SIDNEY FRANK IMPORTING CO,521320.7999999928,0.16962422655118997
E & J GALLO WINERY,515597.76000000985,0.1677620982157799
WILLIAM GRANT & SONS INC,510296.16,0.16603709549291623
JIM BEAM BRANDS COMPANY,505601.95000000834,0.16450972167526412
PROXIMO SPIRITS INC.,497315.199999981,0.16181342879882846
DIAGEO NORTH AMERICA INC,496792.67999998684,0.16164341438379545
PERNOD RICARD USA,491403.86999999895,0.15989003579564154
HEAVEN HILL DISTILLERIES,475569.4999999942,0.15473794371687505
SIDNEY FRANK IMPORTING CO,474284.1599999999,0.15431972751803097
BACARDI USA INC,466410.87999998714,0.1517579670234888
ULTRA BEVERAGE COMPANY LLP,465013.72000000003,0.1513033675055603
WILLIAM GRANT & SONS INC,455224.9799999919,0.14811836615627194
MAJESTIC FINE WINES,449061.11999999353,0.14611280646045785
PERNOD RICARD USA,447044.0899999993,0.14545651736997928
MOET HENNESSY USA INC,441344.90000000334,0.14360214920412515
